186.651367,	 ff980041, 	 ffffff98
189.444336,	 ff980010, 	 ffffff98
190.061523,	 ff980001, 	 ffffff98
190.901367,	 ff980201, 	 ffffff98
191.075195,	 ff980001, 	 ffffff98
193.694336,	 ff980010, 	 ffffff98
194.310547,	 ff980002, 	 ffffff98
195.322266,	 ff980102, 	 ffffff98
195.539062,	 ff980002, 	 ffffff98
198.027344,	 ff980010, 	 ffffff98
198.810547,	 ff980081, 	 ffffff98
199.836914,	 ff980281, 	 ffffff98
200.093750,	 ff980081, 	 ffffff98
202.244141,	 ff980010, 	 ffffff98
202.677734,	 ff980041, 	 ffffff98
203.420898,	 ff980241, 	 ffffff98
203.640625,	 ff980041, 	 ffffff98
206.577148,	 ff980010, 	 ffffff98
207.360352,	 ff980082, 	 ffffff98
207.850586,	 ff980182, 	 ffffff98
208.055664,	 ff980082, 	 ffffff98
210.760742,	 ff980010, 	 ffffff98
211.543945,	 ff980082, 	 ffffff98
212.720703,	 ff980182, 	 ffffff98
212.916016,	 ff980082, 	 ffffff98
215.010742,	 ff980010, 	 ffffff98
215.793945,	 ff980081, 	 ffffff98
216.829102,	 ff980281, 	 ffffff98
217.048828,	 ff980081, 	 ffffff98
219.310547,	 ff980010, 	 ffffff98
220.093750,	 ff980082, 	 ffffff98
221.420898,	 ff980182, 	 ffffff98
221.634766,	 ff980082, 	 ffffff98
223.643555,	 ff980010, 	 ffffff98
224.259766,	 ff980002, 	 ffffff98
225.121094,	 ff980102, 	 ffffff98
225.314453,	 ff980002, 	 ffffff98
226.176758,	 ff980020, 	 ffffff98
231.315430,	 ff980420, 	 ffffff98
231.430664,	 ff980020, 	 ffffff98
233.110352,	 ff980010, 	 ffffff98
233.726562,	 ff980008, 	 ffffff98
235.350586,	 ff980108, 	 ffffff98
235.536133,	 ff980008, 	 ffffff98
237.309570,	 ff980010, 	 ffffff98
238.092773,	 ff980081, 	 ffffff98
238.940430,	 ff980281, 	 ffffff98
239.117188,	 ff980081, 	 ffffff98
241.625977,	 ff980010, 	 ffffff98
242.410156,	 ff980081, 	 ffffff98
243.142578,	 ff980281, 	 ffffff98
243.306641,	 ff980081, 	 ffffff98
245.875977,	 ff980010, 	 ffffff98
246.309570,	 ff980041, 	 ffffff98
247.444336,	 ff980241, 	 ffffff98
247.630859,	 ff980041, 	 ffffff98
250.142578,	 ff980010, 	 ffffff98
250.576172,	 ff980041, 	 ffffff98
251.134766,	 ff980241, 	 ffffff98
251.353516,	 ff980041, 	 ffffff98
254.359375,	 ff980010, 	 ffffff98
255.142578,	 ff980082, 	 ffffff98
255.927734,	 ff980182, 	 ffffff98
256.125977,	 ff980082, 	 ffffff98
258.725586,	 ff980010, 	 ffffff98
259.509766,	 ff980081, 	 ffffff98
259.920898,	 ff980281, 	 ffffff98
260.140625,	 ff980081, 	 ffffff98
263.042969,	 ff980010, 	 ffffff98
263.826172,	 ff980081, 	 ffffff98
265.005859,	 ff980281, 	 ffffff98
265.208984,	 ff980081, 	 ffffff98
267.225586,	 ff980010, 	 ffffff98
267.659180,	 ff980042, 	 ffffff98
268.663086,	 ff980142, 	 ffffff98
268.892578,	 ff980042, 	 ffffff98
271.458984,	 ff980010, 	 ffffff98
272.242188,	 ff980082, 	 ffffff98
273.380859,	 ff980182, 	 ffffff98
273.614258,	 ff980082, 	 ffffff98
275.758789,	 ff980010, 	 ffffff98
276.192383,	 ff980042, 	 ffffff98
277.389648,	 ff980142, 	 ffffff98
277.581055,	 ff980042, 	 ffffff98
280.075195,	 ff980010, 	 ffffff98
280.508789,	 ff980041, 	 ffffff98
281.834961,	 ff980241, 	 ffffff98
282.046875,	 ff980041, 	 ffffff98
